playername,playername_original,league,_source_year,split,position,teamname,talent_score,score_percentile,promoted_to_lec,win_rate,games_played,champion_pool_size,dpm_zscore,cspm_zscore,golddiffat15_zscore
six0x,Six0x,TCL,2025,Spring,bot,Beşiktaş Esports,0.5121493444192918,10.526315789473683,False,0.3333333333333333,6,3,-0.8450910995704309,0.7874301786169093,-2.2200848968984785
d4nka,D4nKa,PRM,2026,unknown,jng,Eintracht Frankfurt,0.5101625670533443,11.37855579868709,False,0.4444444444444444,9,9,-0.7697964179389484,-0.4680596177635696,-0.4207582313505755
axelent,Axelent,LFL2,2024,Spring,bot,MHSC Esport,0.5095601908062526,10.307017543859649,False,0.6666666666666666,6,4,-0.7235767674301905,0.2330271206291504,-0.1544148215681131
visdom,Visdom,PRM,2025,Summer,sup,Kaufland Hangry Knights,0.5087661346066237,11.555555555555555,False,0.3636363636363636,11,6,-1.5414449896225784,-0.2433806448176302,-0.8880334059939633
lenom,Lenom,TCL,2024,Winter,top,Galakticos,0.5074970198519255,7.795100222717149,False,0.0,14,10,-1.6109028250375668,0.4667281593454382,-1.1206166699397706
vergil,Vergil,TCL,2024,unknown,top,Comanchero Gaming,0.507448694488458,7.57238307349666,False,0.5714285714285714,7,5,-1.3480648295197386,-1.4966458931401845,-1.0886156819697153
joexy,Joexy,TCL,2024,Summer,sup,Galakticos,0.5054036120345592,11.333333333333332,False,0.0,14,5,0.297744192883435,1.874230833117976,-1.2258363764752596
kuroneel,Kuroneel,LFL2,2024,Spring,mid,Zerance,0.5048487171126723,8.277404921700224,False,0.5,6,5,-0.3923915367136192,-1.1969873535075355,-0.8478734609354894
hadess,Hadess,LFL2,2024,Spring,jng,Ici Japon Corp. Esport,0.5042101903894796,11.159737417943107,False,0.6666666666666666,6,5,-1.1160007244227244,0.7340034655473096,-1.284253565232615
wcd,WCD,NLC,2024,unknown,mid,Ruzeh Esports,0.5034586569776736,8.053691275167784,False,0.4,5,4,0.032211407918395,-0.3927988224405379,0.9091117021383548
sven,Sven,PRM,2026,unknown,top,VfB eSports,0.5003057804414278,7.349665924276169,False,0.25,8,8,1.1367817604353525,-1.3754322851177638,-0.3508631459920259
afriibi,Afriibi,LVP SL,2025,Summer,bot,ZETA,0.4996824546887799,10.087719298245613,False,0.2222222222222222,9,8,-0.0071247865705422,1.6311243833755118,1.512255170284846
ardaffler,ardaffler,TCL,2026,Kickoff,bot,Team Phoenix,0.49951441824728676,9.868421052631579,False,0.1428571428571428,7,5,0.0779593913135338,-0.3123117777435846,-1.1686312021916396
bisgaard,Bisgaard,NLC,2025,Winter,mid,DMG Esports,0.49797108460225625,7.829977628635347,False,0.2,10,7,-1.5365786027878836,-0.338586119773045,-0.0785062038844862
